Траектории | Разрешение: 1024x768 | Частота в секундах: 0.1
Зеленая		Синяя
x	y	x	y
70	698	70	698
80	688	80	688
90	678	90	679
100	669	100	669
110	659	110	660
120	650	120	650
130	641	130	641
140	632	140	632
150	623	150	623
160	614	160	614
170	605	170	606
180	596	180	597
190	588	190	588
200	579	200	580
210	571	210	572
220	562	220	563
230	554	230	555
240	546	240	547
250	538	250	539
260	530	260	531
270	522	270	523
280	515	280	516
290	507	290	508
300	500	300	501
310	492	310	493
320	485	320	486
330	478	330	479
340	470	340	472
350	463	350	465
360	457	360	458
370	450	370	451
380	443	380	445
390	436	390	438
400	430	400	432
410	423	410	425
420	417	420	419
430	411	430	413
440	405	440	407
450	399	450	401
460	393	460	395
470	387	470	389
480	381	480	383
490	376	490	378
500	370	500	372
510	365	510	367
520	360	520	362
530	354	530	357
540	329	540	352
550	304	550	347
560	299	560	342
570	294	570	337
580	290	580	332
590	265	590	328
600	261	600	323
610	256	610	319
620	252	620	315
630	248	630	310
640	224	640	306
650	220	650	302
660	216	660	299
670	212	670	295
680	188	680	291
685	186	685	289
695	183	695	286
705	179	705	282
715	176	715	279
725	153	725	276
735	149	735	273
745	146	745	270
755	143	755	267
765	141	765	264
775	118	775	261
785	115	785	259
795	113	795	256
805	110	805	254
815	108	815	251
825	85	825	249
835	83	835	247
845	81	845	245
855	79	855	243
865	77	865	241
875	76	875	240
885	54	885	238
895	52	895	237
905	51	905	235
915	50	915	234
925	48	925	233
935	47	935	231
945	46	945	230
930	66	950	230
