Траектории | Разрешение: 1024x768 | Частота в секундах: 0.1
Зеленая		Синяя
x	y	x	y
70	707	70	707
80	707	80	707
90	706	90	706
100	706	100	706
110	705	110	705
120	704	120	704
130	703	130	703
140	703	140	702
150	702	150	701
160	701	160	700
165	700	165	700
170	699	170	699
180	698	180	698
190	697	190	696
200	695	200	695
210	694	210	693
220	692	220	692
230	691	230	690
240	689	240	688
250	687	250	687
260	686	260	685
270	684	270	683
280	682	280	681
290	679	290	679
300	677	300	676
310	675	310	674
320	673	320	672
330	670	330	669
340	668	340	667
350	665	350	664
355	664	355	663
365	661	365	660
375	658	375	657
385	656	385	654
395	653	395	651
405	650	405	648
415	646	415	645
425	643	425	642
435	640	435	639
445	637	445	635
455	593	455	632
465	550	465	628
475	546	475	625
485	543	485	621
495	459	495	617
505	435	505	613
515	431	515	609
525	427	525	605
535	423	535	601
545	419	545	597
555	375	555	593
565	310	565	588
575	306	575	584
585	301	585	579
595	297	595	575
605	292	605	570
615	288	615	565
625	283	625	561
635	278	635	556
645	273	645	551
655	268	655	546
665	263	665	541
675	258	675	535
685	253	685	530
695	247	695	525
705	242	705	519
715	236	715	514
725	231	725	508
730	228	730	505
740	222	740	499
750	216	750	494
760	210	760	488
765	208	765	485
775	202	775	479
785	195	785	473
795	189	795	466
805	183	805	460
815	177	815	454
825	170	825	447
835	164	835	441
845	157	845	434
855	151	855	428
865	144	865	421
875	137	875	414
885	130	885	407
895	124	895	400
905	117	905	393
915	109	915	386
925	102	925	379
935	95	935	372
945	88	945	364
955	80	955	357
965	73	965	349
970	69	970	345
955	85	975	342
