Траектории | Разрешение: 1024x768 | Частота в секундах: 0.1
Зеленая		Синяя
x	y	x	y
70	692	70	692
80	676	80	676
90	661	90	661
100	646	100	646
110	631	110	631
120	616	120	616
130	601	130	601
140	586	140	587
150	572	150	573
160	558	160	558
170	544	170	544
180	530	180	531
190	516	190	517
200	502	200	503
210	489	210	490
220	475	220	477
230	462	230	464
240	449	240	451
250	436	250	438
260	424	260	425
265	418	265	419
275	405	275	407
285	393	285	395
295	381	295	383
305	369	305	371
315	357	315	359
325	305	325	348
335	234	335	336
345	223	345	325
355	211	355	314
365	181	365	303
375	150	375	292
385	139	385	282
395	109	395	271
405	98	405	261
415	88	415	251
425	78	425	241
435	68	435	231
445	58	445	221
455	49	455	212
465	39	465	203
475	30	475	194
485	21	485	185
470	37	490	180
