Траектории | Разрешение: 1024x768 | Частота в секундах: 0.1
Зеленая		Синяя
x	y	x	y
70	698	70	698
80	688	80	688
90	678	90	679
100	669	100	669
110	659	110	660
120	650	120	650
130	641	130	641
140	632	140	632
150	623	150	623
160	614	160	614
170	605	170	606
180	596	180	597
190	588	190	588
200	579	200	580
210	571	210	572
220	562	220	563
230	554	230	555
240	546	240	547
250	538	250	539
260	530	260	531
270	522	270	523
280	515	280	516
290	507	290	508
300	500	300	501
310	492	310	493
320	485	320	486
330	478	330	479
335	474	335	475
340	470	340	472
345	467	345	468
355	460	355	461
365	453	365	455
375	446	375	448
385	440	385	441
395	433	395	435
400	430	400	432
405	427	405	428
415	420	415	422
425	414	425	416
435	408	435	410
445	402	445	404
455	396	455	398
465	390	465	392
475	384	475	386
485	379	485	381
495	373	495	375
505	368	505	370
515	362	515	364
525	357	525	359
535	352	535	354
545	347	545	349
555	342	555	344
565	337	565	339
575	332	575	335
585	327	585	330
595	323	595	326
605	318	605	321
615	314	615	317
625	310	625	313
635	306	635	308
645	302	645	304
655	298	655	301
665	294	665	297
675	290	675	293
685	286	685	289
695	283	695	286
700	281	700	284
710	278	710	281
720	274	720	278
730	271	730	274
740	268	740	271
750	265	750	268
760	262	760	265
770	259	770	263
780	256	780	260
790	254	790	257
800	251	800	255
810	249	810	253
820	247	820	250
830	244	830	248
840	242	840	246
850	240	850	244
860	238	860	242
870	236	870	241
880	235	880	239
890	233	890	237
900	232	900	236
910	230	910	234
920	229	920	233
930	228	930	232
940	227	940	231
950	226	950	230
955	225	955	230
965	224	965	229
975	223	975	228
985	223	985	227
995	222	995	227
985	242	1005	226
